,fid,GRIDCODE,region,country,lat,lng,iso3
440,12516,12517,Eurasia,Russia,55.5,96.5,RUS
441,12518,12519,Eurasia,Russia,55.5,98.5,RUS
442,12519,12520,Eurasia,Russia,55.5,99.5,RUS
443,12520,12521,Eurasia,Russia,55.5,100.5,RUS
444,12521,12522,Eurasia,Russia,55.5,101.5,RUS
445,12522,12523,Eurasia,Russia,55.5,102.5,RUS
446,12810,12811,Eurasia,Russia,54.5,30.5,RUS
447,12811,12812,Eurasia,Russia,54.5,31.5,RUS
448,12812,12813,Eurasia,Russia,54.5,32.5,RUS
449,12813,12814,Eurasia,Russia,54.5,33.5,RUS
450,12814,12815,Eurasia,Russia,54.5,34.5,RUS
451,12815,12816,Eurasia,Russia,54.5,35.5,RUS
452,12816,12817,Eurasia,Russia,54.5,36.5,RUS
453,12817,12818,Eurasia,Russia,54.5,37.5,RUS
454,12818,12819,Eurasia,Russia,54.5,38.5,RUS
455,12819,12820,Eurasia,Russia,54.5,39.5,RUS
456,12820,12821,Eurasia,Russia,54.5,40.5,RUS
457,12821,12822,Eurasia,Russia,54.5,41.5,RUS
458,12822,12823,Eurasia,Russia,54.5,42.5,RUS
459,12823,12824,Eurasia,Russia,54.5,43.5,RUS
460,12824,12825,Eurasia,Russia,54.5,44.5,RUS
461,12825,12826,Eurasia,Russia,54.5,45.5,RUS
